基本牌				
				
名称	数量	花费	效果	持续时间
Tap Note	5	2	造成15Tap属性伤害	/
Tap Note	4	3	造成20Tap属性伤害	/
Hold Note	5	2	造成15Hold属性伤害	/
Hold Note	4	3	造成20Hold属性伤害	/
Slide Note	5	2	造成15Slide属性伤害	/
Slide Note	4	3	造成20Slide属性伤害	/
Touch Note	5	2	造成15Touch 属性伤害	/
Touch Note	4	3	造成20Touch 属性伤害	/
Break Note	8	3	造成20Break属性伤害	/
Tap Miss	6	3	闪避来自于Tap Note的指定伤害，或者闪避其它属性note	/
Hold Miss	6	3	闪避来自于Hold Note的指定伤害，或者闪避其它属性note	/
Slide Miss	6	3	闪避来自于Slide Note的指定伤害，或者闪避其它属性note	/
Touch Miss	6	3	闪避来自于Touch Note的指定伤害，或者闪避其它属性note	/
Break Miss	5	3	闪避来自于Break Note的指定伤害，或者闪避其它属性note	/
运动饮料	6	3	回复15HP	/
运动饮料	6	4	回复20HP	/
装备牌				
				
名称	数量	花费	效果	持续时间
崭新的手套	2	4	第三阶段，多获得2牌，时间耗尽时将破旧的手套加入手牌中	2回合
破旧的手套	2	2	第三阶段，多获得1牌	1回合
银行卡	2	4	第二阶段，获得游戏币数量+1，第五回合后+2	4回合
手机	2	5	每回合一次，看到对方手牌的其中2张，同时看到对方下一回合的状态	无限
大水	2	4	每回合一次，受伤后回复伤害25%的HP	4回合
币框	2	3	回合结束后，若有剩余的游戏币，数量/2之后留到下一回合，最多3个	无限
制谱器	2	5	每回合两次，可以跳过本回合的状态	2回合
迪拉熊玩偶	2	6	每回合一次，将受到的伤害的50%转移给玩偶，耐久为30HP	直到耐久归零
场地牌				
				
名称	数量	花费	效果	持续时间
夜勤	2	3	​(中立)回合​开始​时​获得​10护​盾	2回合
版本更新	2	3	(中立)第三阶段，获得手牌+1	2回合
霸机	1	6	​(中立)每​回​合​一​次，​打出​连击后​多​行动​一​次​	2回合
精力充沛	2	3	(中立)行动​增费​的​机制​-1	2回合
小卖部	2	1	"(中立)每​回合​开始​时，​从牌堆​里​翻出​前​五​张牌​展示，根据​费用​选择​买入，​剩余​的​牌放​回牌​堆底
本回合内买入的牌出牌费用-3，最小为1币"	2回合
ttnk	2	0	"(有害)第三阶段，若玩家抽到了>=5币 或 <= 1币的手牌，该玩家弃置所有基本牌
"	1回合
熊谷凌	2	0	"(有害)第三阶段，若玩家抽到了>=5币 或 <= 1币的手牌，该玩家弃置所有非基本牌，随后摸一张牌
"	1回合
土豆服务器	1	6	(有害)所有Note和Miss失去属性	1回合
大会模式	2	0	(有害)所有玩家在回合内只能行动三次	2回合
精力不充沛	1	2	(有害)行动增费提前1次行动	2回合
事件牌				
				
名称	数量	花费	效果	持续时间
拆机小孩	8	3	拆掉任意一个对方的装备	/
闭店	8	3	拆掉任意一个场地牌	/
"看起来很万能的牌"	6	3	无效任意一个事件牌	/
推分	6	3	摸两张牌	/
"初见杀"	2	3	给对方出战角色减少1层连击标记	
"今天手感爆炸"	3	3	给我方出战角色增加1层连击标记	
羽绒服	3	3	获得15护盾	/
