ID	曲名/Song	设计方向/Type	标签/Label	HP	一技能名称	一技能类型	一技能耗费	一技能时机	一技能描述	二技能名称	二技能类型	二技能耗费	二技能时机	二技能描述	羁绊
1	sølips	伤害	fes	100	100块	被动	0	回合结束时	如果你先声明结束，则你下回合多获得1币	传导	被动	0	回合结束时	如果你已累积2回合后声明结束，则下回合你多获得两张手牌	无
2	raputa	机制	dx	100	月环食	被动	0	使用Note命中时	受到当前HP10%的真实伤害	香格里拉	被动	0	不定	"1 < 受伤次数 < 4时: 摸牌数+1
3 < 受伤次数 < 7时：回合开始时获得15点护盾值
受伤次数 > 7时：Note命中后获得一次额外行动(每回合一次)，Note命中不再扣除生命值"	无
3	有明/Ariake	过牌	fes	100	黑蔷薇	主动	3	当你手牌里只有非属性牌的时候	展示对方所有手牌，弃置对方两张牌；若弃到属性牌，你摸一张	SIINCA	被动	0	每回合两次	当你非行动时打出或弃置一张牌时（不算融掉），你摸一张	kaleidxscope
4	Åntinomiε	防御	fes	100	滴蜡熊	被动	0	当你没有装备时	视为你拥有20血量的滴蜡熊玩偶；玩偶消失时，获得10护盾	二律背反	被动	0	常驻	你的闭店牌无法被再次抵消；此外，如果场上每有一人有护盾，你的伤害+5	kaleidxscope
5	雷切-raikiri-	伤害	白/标	120	闪电	被动	0	你回合内出的第三张Note	无法响应；Note造成伤害时摸一牌	底力	被动	0	第一次行动时	你第一次行动不计入增费机制	pandora box
6	FLΛME/FRΦST	机制	fes	100	火龙形态	主动	弃1牌	任意时机（发动）	你可以弃一张牌进入火龙形态：每回合肯定抽到Note，且属性固定为tap或hold	冰龙形态	主动	弃1牌	任意时机（发动）	你可以弃一张牌进入冰龙形态：每回合肯定抽到Note，且种类固定为slide或touch	kaleidxscope
7	Straight into the light	过牌	fes	100	赏你吃的白菜	主动	1	任意时机（发动）	你可以花费1币，交给对方所有牌并打乱对方牌序；你从对方手牌里抽取牌；若费用>=5或<=1则停止抽牌	Acidic	被动	0	属性Note命中后	给对方附上一层中毒标记：后行结算时造成5真伤，持续2回合，不可叠加	kaleidxscope
8	fragrance	防御	白/标	120	追悔莫及	被动	0	对方对你使用break note但未判定成大P时	下回合开始：你的break状态失效，且break note无法对你造成伤害	断连	被动	0	常驻	角色在场上，出战时，对方的连击标记最多为2	无
9	alea jacta est!	伤害	白/标	120	木已成舟	被动	0	首次血量<50%且没有手牌时	立即摸3张牌；血量恢复到50%；获得永久增益：摸牌数+1	决斗	主动	1	任意时机（发动）	你可以多花费1币，攻击对方的下一个属性	pandora box
10	雨露霜雪	机制	fes	100	四属性累计	被动	0	本局累计打出四种不同属性的Note或miss时	获得：你的第五种状态失效；且你使用第五种Note时可以无视对方状态打出combo	变调	主动	3	任意时机（发动）	若你拥有技能1的增益，可花费3币：改变无效的属性，或改变强中的Note类型	kings of performai
11	Our Wrenally	过牌	标	120	高数	主动	放弃摸3张	回合开始时（选择）	你可以放弃摸3张牌，改成下回合摸5张，并且手牌上限永久+1	临兵斗者皆阵列在前	被动	3	常驻	你可以拥有三个装备区，若我方场上拥有两个装备，第三个装备花费+3，且要占用一个我方的场地牌区域	无
12	Valsqotch	防御	dx	100	华尔兹	被动	0	受到致命伤害后	复活并恢复血量到10；记录本次伤害溢出数量；若总溢出伤害>30，本技能失效	deluxe	被动	0	对方获得游戏币时	若对方在非第二阶段获得游戏币，或在第二1阶段获得超过10游戏币：你可减少华尔兹溢出上限10点，使其无法获得此游戏币	kings of performai
13	Sky Trails	伤害	cir	100	TouchHold	主动	0	手牌中同时拥有Touch和Hold Note时	"可以选择用一个touch和一个hold合成为一个TouchHold Ｎote (3币25伤害)
TouchHold可以对Touch或者Hold状态指定成功
TouchHold指定时，需要同时打出TouchMiss和HoldMiss来闪避"						
14	In Chaos	机制	白/标	120	Funk DJ!	被动	0	第二阶段	你多摸一张牌，对方少摸一张牌；你需从你摸到的牌里选一张交给对方	Echo!	被动	0	场地牌离场后	你放置的场地牌时间耗尽或被弃置后会返回手牌，并且其费用+2	无
15	ViRTUS	过牌	fes	100	洪水	被动	0	每回合一次（触发）	当你打出了最后的手牌，你可以选择弃置对方一张手牌或自己摸一张	漩涡	被动	0	每回合一次（触发）	如果你在本回合内融掉了基本牌，这个基本牌必定会在你下一轮摸到的手牌中再次出现	kings of performai
16	FFT	机制	白/标	120	傅立叶变换	主动	2	任意时机（发动）	弃置手牌中的某一种类型的全部牌x张，摸x+1张牌	专心	被动	0	任意时机（发动）	如果在一回合中，连续使用同一种类牌两次，第三次以上同一类型牌花费-2	pandora box
17	7 Wonders	伤害	fes	100	七大奇迹	被动	0	你在本局内打出的第7的倍数张牌时	若是Note,则对方无法响应; 若不是Note，选择:1.费用-3打出; 2.当作任意属性的3费note打出	"7"的轮回	主动	3	任意时机（发动）	展示对方所有手牌，随后交给对方一张手牌，若此时对方手牌费用总和是7的倍数，对方收到17点伤害	kings of performai
18															
19															
20															
21															
															
															
															
	羁绊														
	kaleidxscope	一张角色阵亡后，你可以选择摸两张牌或者回复另一个角色20hp													
	pandora box	touch属性note命中你的时候不会增加combo值													
	kings of performai	游戏开始时，手牌里固定有一张【大会模式】，使用场地牌费用-1，限3次													
